pincode,state,latitude,longitude
285123,Uttar Pradesh,26.31148529,80.16268158
285124,Uttar Pradesh,26.40622139,79.219841
285126,Uttar Pradesh,26.25435066,79.27442169
285128,Uttar Pradesh,26.2149868,79.36602783
285129,Uttar Pradesh,26.35663223,79.28818512
285201,Uttar Pradesh,25.91465187,79.24549103
285204,Uttar Pradesh,26.12167168,79.74581909
285206,Uttar Pradesh,26.10730362,79.02233124
301001,Rajasthan,27.57604599,76.60899353
301024,Rajasthan,27.52389908,76.31238556
301028,Rajasthan,27.66290092,76.71322632
301401,Rajasthan,27.95878792,76.54866028
301403,Rajasthan,27.90195084,76.60283661
301406,Rajasthan,27.38468361,76.62688446
301408,Rajasthan,27.23185921,76.59451294
301410,Rajasthan,27.18062782,76.39067841
301411,Rajasthan,27.95007896,76.83803558
301412,Rajasthan,27.76916313,76.43969727
301413,Rajasthan,27.2578907,76.74510956
301701,Rajasthan,27.88870811,76.2832489
301703,Rajasthan,28.02506065,76.29410553
301707,Rajasthan,28.11064339,76.82257843
301709,Rajasthan,27.96860695,76.31158447
301712,Rajasthan,27.92043114,76.66117096
301713,Rajasthan,27.98761368,76.19182587
302001,Rajasthan,26.92061996,75.79209137
302002,Rajasthan,26.93846893,75.8390274
302003,Rajasthan,26.91695023,75.81690979
302004,Rajasthan,26.900177,75.8243103
302005,Rajasthan,26.88494492,75.79247284
302006,Rajasthan,26.90238953,75.78304291
302007,Rajasthan,26.90195847,75.80554962
302012,Rajasthan,26.94376945,75.74333954
302013,Rajasthan,26.85237694,75.65976715
302014,Rajasthan,26.85022545,75.81765747
302015,Rajasthan,26.87880707,75.79560089
302016,Rajasthan,26.93384171,75.79434967
302017,Rajasthan,26.84884644,75.81266785
303002,Rajasthan,27.12669754,75.95742798
303003,Rajasthan,27.44463921,76.0789566
303004,Rajasthan,26.7613163,76.20922852
303006,Rajasthan,26.5498848,75.69950867
303007,Rajasthan,26.83187866,75.5713501
303012,Rajasthan,26.87654495,75.93448639
303102,Rajasthan,27.43325615,76.18014526
303103,Rajasthan,27.34038353,75.95636749
303105,Rajasthan,27.77617073,76.08805847
303110,Rajasthan,27.54694748,76.20848846
303302,Rajasthan,26.73688126,76.15176392
303303,Rajasthan,26.90067291,76.34992218
303329,Rajasthan,26.97334671,75.38475037
303348,Rajasthan,26.79372597,75.20609283
303502,Rajasthan,26.88274956,76.63605499
303503,Rajasthan,26.55840111,76.32679749
303505,Rajasthan,26.72105408,76.36611938
303507,Rajasthan,27.05078697,76.33524323
303602,Rajasthan,27.27641106,75.48052979
303604,Rajasthan,26.89429855,75.46335602
303609,Rajasthan,27.14078331,75.41622162
303701,Rajasthan,27.082304,75.62652588
303704,Rajasthan,27.14102173,75.72714233
303801,Rajasthan,27.19708252,75.54190063
303804,Rajasthan,27.26646996,75.72543335
303806,Rajasthan,27.19126892,75.81667328
303901,Rajasthan,26.56995583,75.90244293
303905,Rajasthan,26.76011848,75.83628845
303906,Rajasthan,26.78760147,75.8140564
304001,Rajasthan,26.13139534,75.81082916
304023,Rajasthan,25.89248657,76.10303497
304024,Rajasthan,25.98367119,75.97441864
304502,Rajasthan,26.29732704,75.34056854
304503,Rajasthan,26.26031494,75.221138
304505,Rajasthan,26.09274292,75.51602936
304507,Rajasthan,25.89878845,75.31472015
304803,Rajasthan,25.77899361,75.5438385
304804,Rajasthan,25.82445335,75.42559052
305001,Rajasthan,26.461586,74.63408661
305002,Rajasthan,26.41643715,74.65532684
305003,Rajasthan,26.43093872,74.62689209
305007,Rajasthan,26.45526505,74.66254425
305023,Rajasthan,26.54522514,74.69673157
